Min height,s0,s1,s2,s3,s4,s5,s6,s7
269.74915601554915,"[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[16200, 'Poly']"
263.5954993894351,"[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']"
276.3158175444361,"[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']"
251.02543104848763,"[11310, 'Circle']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
284.6488722292267,"[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[25447, 'Circle']"
241.5643086534276,"[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']"
269.78773082485316,"[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']"
253.7265265072412,"[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[25447, 'Circle']"
222.26434795793148,"[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']"
240.31004011432407,"[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']"
257.8813423832276,"[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[14400, 'Poly']"
179.47842024914382,"[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']"
239.43302063933635,"[16200, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']"
286.20479520388443,"[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']"
261.5865624389849,"[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']"
239.46042217417548,"[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[14400, 'Poly']"
256.1931259055384,"[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']"
293.74789889310307,"[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[14400, 'Poly']"
243.74877030386102,"[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']"
244.02769347964878,"[16200, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']"
170.23754751394793,"[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']"
253.10736953432482,"[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']"
298.24031905749433,"[16200, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']"
241.87404444930507,"[14400, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']"
255.98496659231347,"[25447, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
282.17949543943143,"[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[11310, 'Circle']"
239.3084051043066,"[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[14400, 'Poly']"
